Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
1,001,"MPSCS OTAP",D,"MPSCS Over-The-Air Programming",Data,"MPSCS Technicians"
2,002,"56MOSQUITO",D,"Midland County Mosquito Control",Public Works,"Midland County (56) Public Works"
3,003,"23OPS9",D,"Police/Fire Tactical 9",Multi-Tac,"Eaton County (23) Common/Interop"
4,004,"23OPS10",D,"Police/Fire Tactical 10",Multi-Tac,"Eaton County (23) Common/Interop"
5,005,"23OPS11",D,"Police/Fire Tactical 11",Multi-Tac,"Eaton County (23) Common/Interop"
8,008,"23JAIL1",DE,"Jail Operations 1",Law Tac,"Eaton County (23) Law Enforcement"
9,009,"23JAIL2",DE,"Jail Operations 2",Law Tac,"Eaton County (23) Law Enforcement"
10,00a,"23COURTS",DE,"Court Security",Law Tac,"Eaton County (23) Law Enforcement"
11,00b,"R1OPS1",D,"Region 1 OPS 1",Interop,"Region 1 Interoperability"
12,00c,"R1OPS2",D,"Region 1 OPS 2",Interop,"Region 1 Interoperability"
13,00d,"R1OPS3",D,"Region 1 OPS 3",Interop,"Region 1 Interoperability"
14,00e,"R1OPS4",D,"Region 1 OPS 4",Interop,"Region 1 Interoperability"
15,00f,"R1OPS5",D,"Region 1 OPS 5",Interop,"Region 1 Interoperability"
16,010,"R1OPS6",D,"Region 1 OPS 6",Interop,"Region 1 Interoperability"
17,011,"R1OPS7",D,"Region 1 OPS 7",Interop,"Region 1 Interoperability"
18,012,"R1OPS8",D,"Region 1 OPS 8",Interop,"Region 1 Interoperability"
19,013,"R1OPS9",D,"Region 1 OPS 9",Interop,"Region 1 Interoperability"
20,014,"R1OPS10",D,"Region 1 OPS 10",Interop,"Region 1 Interoperability"
21,015,"R1OPS11",D,"Region 1 OPS 11",Interop,"Region 1 Interoperability"
22,016,"R1OPS12",D,"Region 1 OPS 12",Interop,"Region 1 Interoperability"
23,017,"R1OPS13",D,"Region 1 OPS 13",Interop,"Region 1 Interoperability"
24,018,"R1OPS14",D,"Region 1 OPS 14",Interop,"Region 1 Interoperability"
25,019,"R1OPS15",D,"Region 1 OPS 15",Interop,"Region 1 Interoperability"
26,01a,"R1OPS16",D,"Region 1 OPS 16",Interop,"Region 1 Interoperability"
27,01b,"46PG71DUTY",D,"Adrian City On-Duty Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
28,01c,"46PG71OFF",D,"Adrian City Off-Duty Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
29,01d,"46PG72",D,"Adrian Twp. Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
30,01e,"46PG73",D,"Blissfield Twp. Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
31,01f,"46PG74",D,"Ridgeway Twp. Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
32,020,"46PG75",D,"Clayton Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
33,021,"46PG76",D,"Clinton Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
34,022,"46PG77",D,"Fairfield Twp. Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
35,023,"46PG78",D,"Palmyra Twp. Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
36,024,"46PG79",D,"Deerfield Twp. Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
37,025,"46PG81",D,"Raisin Twp. Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
38,026,"46PG82EMS",D,"Hudson EMS Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
39,027,"46PG82FIRE",D,"Hudson Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
40,028,"46PG84EMS",D,"Morenci EMS Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
41,029,"46PG84FIRE",D,"Morenci Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
42,02a,"46PG85",D,"Cambridge Twp. Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
43,02b,"46PG85MIS",D,"Cambridge Twp. Fire MIS Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
44,02c,"46PG86",D,"Tecumseh Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
45,02d,"46PG87",D,"Riga Twp. Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
46,02e,"46PG88DUTY",D,"Madison Twp. Fire On-Duty Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
47,02f,"46PG88OFF",D,"Madison Twp. Fire Off-Duty Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
48,030,"46PG89DUTY",D,"Addison Fire On-Duty Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
49,031,"46PG89OFF",D,"Addison Fire Off-Duty Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
50,032,"46PG90",D,"Sand Lake Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
51,033,"46PGTNSN",D,"Technical Rescue Team Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
52,034,"46F71",D,"Adrian City Fire Proprietary",Fire-Talk,"Lenawee County (46) Fire/EMS"
53,035,"46F72",D,"Adrian Twp. Fire Proprietary",Fire-Talk,"Lenawee County (46) Fire/EMS"
54,036,"46F73",D,"Blissfield Twp. Fire Proprietary",Fire-Talk,"Lenawee County (46) Fire/EMS"
55,037,"46F85",D,"Cambridge Twp. Fire Proprietary",Fire-Talk,"Lenawee County (46) Fire/EMS"
56,038,"46F76",D,"Clinton Fire Proprietary",Fire-Talk,"Lenawee County (46) Fire/EMS"
57,039,"46E82",D,"Hudson EMS Proprietary",EMS-Talk,"Lenawee County (46) Fire/EMS"
58,03a,"46F82",D,"Hudson Fire Proprietary",Fire-Talk,"Lenawee County (46) Fire/EMS"
59,03b,"46F88A",D,"Madison Twp. Fire Proprietary 1",Fire-Talk,"Lenawee County (46) Fire/EMS"
60,03c,"46F84",D,"Morenci Fire Dept Proprietary",Fire-Talk,"Lenawee County (46) Fire/EMS"
62,03e,"46FPAGE21",D,"Fire Paging",Fire Dispatch,"Lenawee County (46) Fire/EMS"
63,03f,"46F86",D,"Tecumseh Fire Proprietary",Fire-Talk,"Lenawee County (46) Fire/EMS"
64,040,"29FOPS1",D,"Fire Ops 1",Fire-Tac,"Gratiot County (29)"
65,041,"29FOPS2",D,"Fire Ops 2",Fire-Tac,"Gratiot County (29)"
66,042,"29FOPS3",D,"Fire Ops 3",Fire-Tac,"Gratiot County (29)"
67,043,"K-EVENT63",D,"Event channel 63",Multi-Tac,"Statewide Event"
68,044,"K-EVENT64",D,"Event channel 64",Multi-Tac,"Statewide Event"
69,045,"K-EVENT65",D,"Event channel 65",Multi-Tac,"Statewide Event"
70,046,"K-EVENT66",D,"Event channel 66",Multi-Tac,"Statewide Event"
71,047,"K-EVENT67",D,"Event channel 67",Multi-Tac,"Statewide Event"
72,048,"K-EVENT68",D,"Event channel 68",Multi-Tac,"Statewide Event"
73,049,"K-EVENT69",D,"Event channel 69",Multi-Tac,"Statewide Event"
74,04a,"K-EVENT70",D,"Event channel 70",Multi-Tac,"Statewide Event"
75,04b,"K-EVENT71",D,"Event channel 71",Multi-Tac,"Statewide Event"
76,04c,"K-EVENT72",D,"Event channel 72",Multi-Tac,"Statewide Event"
