1,1,D,MPSCS OTAP,MPSCS OverTheAir Programming,Data,MPSCS Technicians,1
2,2,D,53MOSQUITO,Midland County Mosquito Control,Public Works,Midland County 56 Public Works,1
253,FD,D,HSTAC1,Bioterrorism 1,Federal,Regional BioDefense Network  Homeland Security,1
254,FE,D,HSTAC2,Bioterrorism 2,Federal,Regional BioDefense Network  Homeland Security,1
255,FF,D,HSTAC3,Bioterrorism 3,Federal,Regional BioDefense Network  Homeland Security,1
256,100,D,HSTAC4,Bioterrorism 4,Federal,Regional BioDefense Network  Homeland Security,1
257,101,D,HSTAC5,Bioterrorism 5,Federal,Regional BioDefense Network  Homeland Security,1
258,102,D,HSTAC6,Bioterrorism 6,Federal,Regional BioDefense Network  Homeland Security,1
259,103,D,HSTAC7,Bioterrorism 7,Federal,Regional BioDefense Network  Homeland Security,1
260,104,D,HSTAC8,Bioterrorism 8,Federal,Regional BioDefense Network  Homeland Security,1
314,13A,DE,DHS,Dept of Homeland Security,Federal,Federal Government,1
315,13B,DE,DHS,Dept of Homeland Security,Federal,Federal Government,1
316,13C,DE,DHS,Dept of Homeland Security,Federal,Federal Government,1
317,13D,DE,DHS,Dept of Homeland Security,Federal,Federal Government,1
318,13E,DE,DHS,Dept of Homeland Security,Federal,Federal Government,1
319,13F,DE,DHS,Dept of Homeland Security,Federal,Federal Government,1
322,142,DE,DHS,Dept of Homeland Security,Federal,Federal Government,1
432,1B0,D,MEPSS PAT,Patched to 155865 MHz in the UP,Interop,Statewide Regional CommonInterop,1
1000,3E8,D,MSPADEAC,All Districts Emergency All Call,Emergency Ops,State Police  Statewide,1
1001,3E9,D,D1EAC,SouthCentral Region Emergency All Call Emergency Broadcasts,Emergency Ops,State Police District 1  CentralSouth Region,1
1006,3EE,D,MSP1,MSP District 1,Law Talk,State Police  Statewide,1
1007,3EF,D,MSP3,MSP District 3,Law Talk,State Police  Statewide,1
1008,3F0,D,STATW1,Statewide District  1,Interop,MPSCS Statewide,1
1009,3F1,D,STATW3,Statewide District  3,Interop,MPSCS Statewide,1
1010,3F2,D,GEVENT01,Event channel 1,Multi-Tac,Statewide Event,1
1011,3F3,D,GEVENT02,Event channel 2,Multi-Tac,Statewide Event,1
1012,3F4,D,GEVENT03,Event channel 3,Multi-Tac,Statewide Event,1
1013,3F5,D,GEVENT04,Event channel 4,Multi-Tac,Statewide Event,1
1014,3F6,D,GEVENT05,Event channel 5,Multi-Tac,Statewide Event,1
1015,3F7,D,GEVENT06,Event channel 6,Multi-Tac,Statewide Event,1
1016,3F8,D,GEVENT07,Event channel 7,Multi-Tac,Statewide Event,1
1017,3F9,D,GEVENT08,Event channel 8,Multi-Tac,Statewide Event,1
1018,3FA,D,GEVENT09,Event channel 9,Multi-Tac,Statewide Event,1
1019,3FB,D,GEVENT10,Event channel 10,Multi-Tac,Statewide Event,1
1020,3FC,D,GEVENT11,Event channel 11,Multi-Tac,Statewide Event,1
1021,3FD,D,GEVENT12,Event channel 12,Multi-Tac,Statewide Event,1
1022,3FE,D,GEVENT13,Event channel 13,Multi-Tac,Statewide Event,1
1023,3FF,D,GEVENT14,Event channel 14,Multi-Tac,Statewide Event,1
1024,400,D,GEVENT15,Event channel 15,Multi-Tac,Statewide Event,1
1025,401,D,HEVENT16,Event channel 16,Multi-Tac,Statewide Event,1
1026,402,D,HEVENT17,Event channel 17,Multi-Tac,Statewide Event,1
1027,403,D,HEVENT18,Event channel 18,Multi-Tac,Statewide Event,1
1028,404,D,HEVENT19,Event channel 19,Multi-Tac,Statewide Event,1
1029,405,D,HEVENT20,Event channel 20,Multi-Tac,Statewide Event,1
1030,406,D,HEVENT21,Event channel 21,Multi-Tac,Statewide Event,1
1031,407,D,HEVENT22,Event channel 22,Multi-Tac,Statewide Event,1
1032,408,D,HEVENT23,Event channel 23,Multi-Tac,Statewide Event,1
1033,409,D,HEVENT24,Event channel 24,Multi-Tac,Statewide Event,1
1034,40A,D,HEVENT25,Event channel 25,Multi-Tac,Statewide Event,1
1035,40B,D,HEVENT26,Event channel 26,Multi-Tac,Statewide Event,1
